,layer,position,acc,f1
119,2,27,0.93,0.9299929992999301
120,2,28,0.99,0.9899989998999901
121,2,29,0.92,0.92
122,2,30,0.82,0.8197115384615384
123,2,31,0.88,0.8798076923076923
124,2,32,0.84,0.8397435897435898
125,2,33,0.81,0.8099809980998101
126,2,34,0.78,0.7785829307568438
127,2,35,0.81,0.8099809980998101
128,2,36,0.79,0.7898108297467721
129,2,37,0.84,0.84
130,2,38,0.8,0.8
131,2,39,0.78,0.7785829307568438
132,2,40,0.77,0.7699769976997699
133,2,41,1.0,1.0
134,2,42,1.0,1.0
135,2,43,1.0,1.0
136,2,44,1.0,1.0
137,2,45,1.0,1.0
138,3,0,0.5,0.3333333333333333
139,3,1,0.5,0.3333333333333333
140,3,2,0.5,0.3333333333333333
141,3,3,0.85,0.8492613807657522
142,3,4,0.84,0.84
143,3,5,0.79,0.7894736842105263
144,3,6,0.85,0.8492613807657522
145,3,7,0.79,0.7894736842105263
146,3,8,0.79,0.7894736842105263
147,3,9,0.79,0.7894736842105263
148,3,10,0.79,0.7894736842105263
149,3,11,0.79,0.7894736842105263
150,3,12,0.87,0.8698828946051447
151,3,13,0.78,0.7799119647859143
152,3,14,0.8,0.7999199679871949
153,3,15,0.79,0.78997899789979
154,3,16,0.79,0.7894736842105263
155,3,17,0.85,0.8498648783905515
156,3,18,0.83,0.8298468621759583
157,3,19,0.8,0.7987117552334944
158,3,20,0.8,0.7992773986350863
159,3,21,1.0,1.0
160,3,22,1.0,1.0
161,3,23,1.0,1.0
162,3,24,1.0,1.0
163,3,25,1.0,1.0
164,3,26,1.0,1.0
165,3,27,1.0,1.0
166,3,28,1.0,1.0
167,3,29,1.0,1.0
168,3,30,1.0,1.0
169,3,31,1.0,1.0
170,3,32,0.9,0.8999599839935974
171,3,33,0.97,0.96999699969997
172,3,34,0.76,0.7596153846153846
173,3,35,0.8,0.7999199679871949
174,3,36,0.77,0.7699769976997699
175,3,37,0.81,0.8099809980998101
176,3,38,0.94,0.9399759903961584
177,3,39,0.81,0.8099809980998101
178,3,40,0.81,0.8098288459613652
179,3,41,1.0,1.0
180,3,42,1.0,1.0
181,3,43,1.0,1.0
182,3,44,1.0,1.0
183,3,45,1.0,1.0
184,4,0,0.5,0.3333333333333333
185,4,1,0.5,0.3333333333333333
186,4,2,0.5,0.3333333333333333
187,4,3,0.85,0.8492613807657522
188,4,4,0.84,0.84
189,4,5,0.79,0.7894736842105263
190,4,6,0.85,0.8492613807657522
191,4,7,0.79,0.7894736842105263
192,4,8,0.79,0.7894736842105263
193,4,9,0.85,0.8492613807657522
194,4,10,0.79,0.7894736842105263
195,4,11,0.85,0.8492613807657522
196,4,12,0.86,0.859775641025641
197,4,13,0.86,0.8594941790445605
198,4,14,0.82,0.8193496587715776
199,4,15,0.86,0.8599439775910365
200,4,16,0.81,0.8084484323016433
201,4,17,0.87,0.8698828946051447
202,4,18,0.85,0.84998499849985
203,4,19,0.78,0.7785829307568438
204,4,20,0.85,0.8487750781328763
205,4,21,1.0,1.0
206,4,22,1.0,1.0
207,4,23,1.0,1.0
208,4,24,1.0,1.0
209,4,25,1.0,1.0
210,4,26,1.0,1.0
211,4,27,1.0,1.0
212,4,28,1.0,1.0
213,4,29,1.0,1.0
214,4,30,1.0,1.0
215,4,31,1.0,1.0
216,4,32,1.0,1.0
217,4,33,0.97,0.96999699969997
218,4,34,0.87,0.8698828946051447
219,4,35,0.96,0.959983993597439
220,4,36,0.84,0.8397435897435898
221,4,37,0.89,0.8899889988998899
222,4,38,0.92,0.92
223,4,39,0.84,0.8399359743897559
224,4,40,0.89,0.8899889988998899
225,4,41,1.0,1.0
226,4,42,1.0,1.0
227,4,43,1.0,1.0
228,4,44,1.0,1.0
229,4,45,1.0,1.0
230,5,0,0.5,0.3333333333333333
231,5,1,0.5,0.3333333333333333
232,5,2,0.5,0.3333333333333333
233,5,3,0.85,0.8492613807657522
234,5,4,0.84,0.84
235,5,5,0.79,0.7894736842105263
236,5,6,0.85,0.8492613807657522
237,5,7,0.85,0.8492613807657522
238,5,8,0.79,0.7894736842105263
239,5,9,0.85,0.8492613807657522
240,5,10,0.85,0.8492613807657522
241,5,11,0.79,0.7894736842105263
242,5,12,0.84,0.8397435897435898
243,5,13,0.85,0.849624060150376
244,5,14,0.86,0.859775641025641
245,5,15,0.84,0.8397435897435898
246,5,16,0.84,0.8399359743897559
247,5,17,0.86,0.859775641025641
248,5,18,0.84,0.8399359743897559
249,5,19,0.84,0.8383838383838383
250,5,20,0.83,0.8298468621759583
251,5,21,1.0,1.0
252,5,22,1.0,1.0
253,5,23,1.0,1.0
254,5,24,0.98,0.9799919967987194
255,5,25,1.0,1.0
256,5,26,1.0,1.0
257,5,27,1.0,1.0
258,5,28,1.0,1.0
259,5,29,1.0,1.0
260,5,30,1.0,1.0
261,5,31,1.0,1.0
262,5,32,1.0,1.0
263,5,33,0.99,0.9899989998999901
264,5,34,0.9,0.8998397435897436
265,5,35,0.98,0.98
266,5,36,1.0,1.0
267,5,37,0.96,0.959983993597439
268,5,38,0.99,0.9899989998999901
269,5,39,0.93,0.9298245614035088
270,5,40,1.0,1.0
271,5,41,1.0,1.0
272,5,42,1.0,1.0
273,5,43,1.0,1.0
274,5,44,1.0,1.0
275,5,45,1.0,1.0
276,6,0,0.5,0.3333333333333333
277,6,1,0.5,0.3333333333333333
278,6,2,0.5,0.3333333333333333
279,6,3,0.85,0.8492613807657522
280,6,4,0.84,0.84
281,6,5,0.79,0.7894736842105263
282,6,6,0.85,0.8492613807657522
283,6,7,0.79,0.7894736842105263
284,6,8,0.79,0.7894736842105263
285,6,9,0.85,0.8492613807657522
286,6,10,0.85,0.8492613807657522
287,6,11,0.79,0.7894736842105263
288,6,12,0.87,0.8698828946051447
289,6,13,0.86,0.8599439775910365
290,6,14,0.81,0.8095238095238095
291,6,15,0.85,0.84998499849985
292,6,16,0.85,0.8498648783905515
293,6,17,0.84,0.839421918908069
294,6,18,0.85,0.84998499849985
295,6,19,0.83,0.8298468621759583
296,6,20,0.85,0.849624060150376
297,6,21,1.0,1.0
298,6,22,1.0,1.0
299,6,23,1.0,1.0
300,6,24,1.0,1.0
301,6,25,1.0,1.0
302,6,26,1.0,1.0
303,6,27,1.0,1.0
304,6,28,1.0,1.0
305,6,29,1.0,1.0
306,6,30,1.0,1.0
307,6,31,1.0,1.0
308,6,32,1.0,1.0
309,6,33,0.99,0.9899989998999901
310,6,34,1.0,1.0
311,6,35,0.98,0.98
312,6,36,0.99,0.9899989998999901
313,6,37,0.99,0.9899989998999901
314,6,38,1.0,1.0
315,6,39,0.99,0.9899989998999901
316,6,40,1.0,1.0
317,6,41,0.99,0.9899989998999901
318,6,42,1.0,1.0
319,6,43,1.0,1.0
320,6,44,1.0,1.0
321,6,45,1.0,1.0
322,7,0,0.5,0.3333333333333333
323,7,1,0.5,0.3333333333333333
324,7,2,0.5,0.3333333333333333
325,7,3,0.85,0.8492613807657522
326,7,4,0.85,0.8492613807657522
327,7,5,0.79,0.7894736842105263
328,7,6,0.79,0.7894736842105263
329,7,7,0.79,0.7894736842105263
330,7,8,0.79,0.7894736842105263
331,7,9,0.85,0.8492613807657522
332,7,10,0.85,0.8492613807657522
333,7,11,0.85,0.8492613807657522
334,7,12,0.87,0.8699869986998701
335,7,13,0.88,0.8799519807923168
336,7,14,0.78,0.7799119647859143
337,7,15,0.87,0.8698828946051447
338,7,16,0.83,0.8298468621759583
339,7,17,0.85,0.849624060150376
340,7,18,0.84,0.8399359743897559
341,7,19,0.83,0.8298468621759583
342,7,20,0.82,0.8199279711884754
343,7,21,1.0,1.0
344,7,22,1.0,1.0
345,7,23,1.0,1.0
346,7,24,1.0,1.0
347,7,25,0.99,0.9899989998999901
348,7,26,1.0,1.0
349,7,27,1.0,1.0
350,7,28,1.0,1.0
351,7,29,0.97,0.96999699969997
352,7,30,1.0,1.0
353,7,31,1.0,1.0
354,7,32,1.0,1.0
355,7,33,0.99,0.9899989998999901
356,7,34,1.0,1.0
357,7,35,0.99,0.9899989998999901
358,7,36,0.99,0.9899989998999901
359,7,37,0.99,0.9899989998999901
360,7,38,1.0,1.0
361,7,39,0.99,0.9899989998999901
362,7,40,1.0,1.0
363,7,41,1.0,1.0
364,7,42,1.0,1.0
365,7,43,1.0,1.0
366,7,44,1.0,1.0
367,7,45,1.0,1.0
368,8,0,0.5,0.3333333333333333
369,8,1,0.5,0.3333333333333333
370,8,2,0.5,0.3333333333333333
371,8,3,0.85,0.8492613807657522
372,8,4,0.85,0.8492613807657522
373,8,5,0.79,0.7894736842105263
374,8,6,0.85,0.8492613807657522
375,8,7,0.79,0.7894736842105263
376,8,8,0.79,0.7894736842105263
377,8,9,0.85,0.8492613807657522
378,8,10,0.85,0.8492613807657522
379,8,11,0.85,0.8492613807657522
380,8,12,0.9,0.8998397435897436
381,8,13,0.82,0.82
382,8,14,0.81,0.8099809980998101
383,8,15,0.89,0.8897243107769424
384,8,16,0.84,0.8397435897435898
385,8,17,0.83,0.8298468621759583
386,8,18,0.87,0.8698828946051447
387,8,19,0.84,0.84
388,8,20,0.84,0.8397435897435898
389,8,21,1.0,1.0
390,8,22,1.0,1.0
391,8,23,1.0,1.0
392,8,24,1.0,1.0
393,8,25,0.99,0.9899989998999901
394,8,26,1.0,1.0
395,8,27,1.0,1.0
396,8,28,1.0,1.0
397,8,29,0.99,0.9899989998999901
398,8,30,1.0,1.0
399,8,31,1.0,1.0
400,8,32,1.0,1.0
401,8,33,0.99,0.9899989998999901
