,layer,position,iia
519,11,13,0.0
520,11,14,0.0
521,11,15,0.0
522,11,16,0.0
523,11,17,0.0
524,11,18,0.0
525,11,19,0.0
526,11,20,0.0
527,11,21,0.0
528,11,22,0.0
529,11,23,0.0
530,11,24,0.0
531,11,25,0.0
532,11,26,0.0
533,11,27,0.0
534,11,28,0.0
535,11,29,0.0
536,11,30,0.0
537,11,31,0.0
538,11,32,0.0
539,11,33,0.0
540,11,34,0.0
541,11,35,0.0
542,11,36,0.0
543,11,37,0.0
544,11,38,0.0
545,11,39,0.0
546,11,40,0.0
547,11,41,0.0
548,11,42,0.0
549,11,43,0.0
550,11,44,0.0
551,11,45,0.98
